Id|AirlineCode|AirlineName
728|R4|RUSSIA
729|R5|MALTA AIR CHARTER
730|R6|AIR SRPSKA
731|R7|ASERCA AIRLINES
732|R9|TAF LINHAS AÉREAS
733|RA|ROYAL NEPAL AIRLINES
734|RB|SYRIAN ARAB AIRLINES
735|RC|ATLANTIC AIRWAYS
736|RD|RYAN INTERNATIONAL AIRLINES
737|RE|AER ARANN
738|RF|ORD AIR CHARTER
739|RG|VARIG BRASIL
740|RH|REGIONNAIR
741|RI|MANDALA AIRLINES
742|RJ|ROYAL JORDANIAN AIRLINE
743|RK|REGION AIRLINES
744|RL|ROYAL FALCON AIRLINES
745|RM|AIR MOLDOVA INTL
746|RN|AIR HORIZONS
747|RO|TAROM
748|RP|CHAUTAUQUA AIRLINES
749|RQ|KAM AIR
750|RS|SKY REGIONAL AIRLINES
751|RT|RAK AIRWAYS
752|RU|BRITT AIRWAYS
753|RV|CASPIAN AIRLINES
754|RW|REPUBLIC AIRLINES
755|RX|AVIAEXPRESS AIRLINES AND SERVICES LTD.
756|RY|EUROPEAN EXECUTIVE EXPRESS
757|RZ|SANSA AIRLINES
758|S0|SALSA D'HAITI
759|S2|JET LITE
760|S3|SANTA BARBARA AIRLINES
761|S4|SATA INTERNATIONAL
762|S5|SHUTTLE AMERICA
763|S6|SALMON AIR
764|S7|S7 AIRLINES
765|S8|ESTONIAN AVIATION COMPANY ELK
766|SA|SOUTH AFRICAN AIRWAYS
767|SB|AIR CALEDONIE INTERNATIONAL
768|SC|SHANDONG AIRLINES
769|SD|SUDAN AIRWAYS
770|SE|STAR AIRLINES
771|SF|TASSILI AIRLINES
772|SG|SPICEJET
773|SH|SHARP AIRLINES
774|SI|BLUE ISLANDS
775|SJ|FREEDOM AIR
