Airport Id|Airport Code|Airport Name|City Name|Country Name
469|AWH|Awareh|Awareh|Ethiopia
470|AWK|Wake Island|Wake Island|US Minor Outlying Islands
471|AWM|Municipal|West Memphis|United States
472|AWN|Alton Downs|Alton Downs|Australia
473|AWP|Austral Downs|Austral Downs|Australia
474|AWR|Awar|Awar|Papua New Guinea
475|AWZ|Ahwaz|Ahwaz|Iran
476|AXA|Wallblake|Anguilla|Anguilla
477|AXB|Alexandria Bay|Alexandria Bay|United States
478|AXC|Aramac|Aramac|Australia
479|AXD|Dimokritos|Alexandroupolis|Greece
480|AXE|Xanxere|Xanxere|Brazil
481|AXG|Algona|Algona|United States
482|AXK|Ataq|Ataq|Yemen
483|AXL|Alexandria|Alexandria|Australia
484|AXM|El Eden|Armenia|Colombia
485|AXN|Alexandria|Alexandria|United States
486|AXP|Springpoint Arpt|Spring Point|Bahamas
487|AXR|Arutua|Arutua|French Polynesia
488|AXS|Municipal|Altus|United States
489|AXT|Akita|Akita|Japan
490|AXU|Axum|Axum|Ethiopia
491|AXV|Neil Armstrong|Wapakoneta|United States
492|AXX|Angel Fire|Angel Fire|United States
493|AYA|Ayapel|Ayapel|Colombia
494|AYC|Ayacucho|Ayacucho|Colombia
495|AYD|Alroy Downs|Alroy Downs|Australia
496|AYE|AAF Heliport|Fort Devens|United States
497|AYG|Yaguara|Yaguara|Colombia
498|AYH|RAF Station|Alconbury|United Kingdom
499|AYI|Yari|Yari|Colombia
500|AYK|Arkalyk|Arkalyk|Kazakhstan
501|AYL|Anthony Lagoon|Anthony Lagoon|Australia
502|AYN|Anyang|Anyang|China
503|AYO|Ayolas|Ayolas|Paraguay
504|AYP|Yanamilla|Ayacucho|Peru
505|AYQ|Connellan|Ayers Rock|Australia
506|AYR|Ayr|Ayr|Australia
507|AYS|Ware County|Waycross|United States
508|AYT|Antalya|Antalya|Turkey
509|AYU|Aiyura|Aiyura|Papua New Guinea
510|AYW|Ayawasi|Ayawasi|Indonesia
511|AYZ|Zahns|Amityville|United States
512|AZA|Phoenix-Mesa Gateway Airport|Phoenix|United States
513|AZB|Amazon Bay|Amazon Bay|Papua New Guinea
514|AZD|Yazd|Yazd|Iran
515|AZG|Apatzingan|Apatzingan|Mexico
516|AZI|Bateen|Abu Dhabi|United Arab Emirates
517|AZN|Andizhan|Andizhan|Uzbekistan
518|AZO|Kalamazoo/Battle Creek Intl|Kalamazoo|United States
519|AZP|Atizapan|Mexico City|Mexico
520|AZR|Adrar|Adrar|Algeria
521|AZS|SamanÃ¡ El Catey Intl.|El Catey|Dominican Republic
522|AZT|Zapatoca|Zapatoca|Colombia
523|AZZ|Ambriz|Ambriz|Angola
524|BAA|Bialla|Bialla|Papua New Guinea
525|BAC|Barranca De Upia|Barranca De Upia|Colombia
526|BAE|Barcelonnette|Barcelonnette|France
527|BAG|Loakan|Baguio|Philippines
528|BAH|Bahrain Intl.|Manama|Bahrain
529|BAI|Buenos Aires|Buenos Aires|Costa Rica
530|BAJ|Bali|Bali|Papua New Guinea
531|BAL|Batman|Batman|Turkey
532|BAM|Lander County|Battle Mountain|United States
533|BAN|Basongo|Basongo|Zaire
534|BAO|Udorn|Ban Mak Khaen|Thailand
535|BAP|Baibara|Baibara|Papua New Guinea
536|BAQ|E Cortissoz|Barranquilla|Colombia
537|BAR|Baker Aaf|Baker Island|United States
538|BAS|Balalae|Balalae|Solomon Islands
539|BAT|Arpt. Chafei Amsei|Barretos|Brazil
540|BAU|Bauru|Bauru|Brazil
541|BAV|Baotou|Baotou|China
542|BAW|Biawonque|Biawonque|Gabon
543|BAX|Barnaul|Barnaul|Russian Federation
544|BAY|Baia Mare|Baia Mare|Romania
545|BAZ|Barbelos|Barbelos|Brazil
546|BBA|Teniente Vidal|Balmaceda|Chile
547|BBB|Municipal|Benson|United States
548|BBC|Bay City|Bay City|United States
549|BBD|Curtis Field|Brady|United States
550|BBE|Big Bell|Big Bell|Australia
551|BBF|Burlington|Burlington|United States
552|BBG|Butaritari|Butaritari|Kiribati
553|BBH|Barth|Barth|Germany
554|BBI|Bhubaneswar|Bhubaneswar|India
555|BBJ|Bitburg Air Base|Bitburg|Germany
556|BBK|Kasane|Kasane|Botswana
557|BBL|Babolsar|Babolsar|Iran
558|BBM|Battambang|Battambang|Cambodia
559|BBN|Bario|Bario|Malaysia
560|BBO|Berbera|Berbera|Somalia
561|BBP|Bembridge|Bembridge|United Kingdom
562|BBQ|Barbuda|Barbuda|Antigua and Barbuda
563|BBR|Baillif|Basse Terre|Guadeloupe
564|BBS|Blackbushe|Yateley|United Kingdom
565|BBT|Berberati|Berberati|Central African Republic
566|BBU|Baneasa|Bucharest|Romania
567|BBV|Hkg|Bereby|Cote D'Ivoire
568|BBW|Broken Bow|Broken Bow|United States
569|BBX|Wings Field|Blue Bell|United States
570|BBY|Bambari|Bambari|Central African Republic
571|BBZ|Zambezi|Zambezi|Zambia
572|BCA|Baracoa|Baracoa|Cuba
573|BCB|Virginia Tech|Blacksburg|United States
574|BCC|Bear Creek|Bear Creek|United States
575|BCD|Bacolod|Bacolod|Philippines
576|BCE|Bryce|Bryce|United States
577|BCF|Bouca|Bouca|Central African Republic
578|BCG|Bemichi|Bemichi|Guyana
579|BCH|Cakung Intl.|Baucau|East Timor-Indonesia
580|BCI|Barcaldine|Barcaldine|Australia
581|BCJ|Baca Grande|Baca Grande|United States
582|BCK|Bolwarra|Bolwarra|Australia
583|BCL|Barra Colorado|Barra Colorado|Costa Rica
584|BCM|Bacau|Bacau|Romania
585|BCN|El Prat De Llobregat|Barcelona|Spain
586|BCO|Jinka|Jinka|Ethiopia
587|BCP|Bambu|Bambu|Papua New Guinea
588|BCQ|Brack|Brack|Libya
589|BCR|Boca Do Acre|Boca Do Acre|Brazil
590|BCS|Southern Seaplane|Belle Chasse|United States
591|BCT|Public|Boca Raton|United States
592|BCU|Bauchi|Bauchi|Nigeria
593|BCV|Belmopan|Belmopan|Belize
594|BCW|Benguera Island|Benguera Island|Mozambique
595|BCX|Beloreck|Beloreck|Russian Federation
596|BCY|Bulchi|Bulchi|Ethiopia
597|BCZ|Bickerton Island|Bickerton Island|Australia
598|BDA|Kindley Field|Bermuda|Bermuda
599|BDB|Bundaberg|Bundaberg|Australia
600|BDC|Barra Do Corda|Barra Do Corda|Brazil
601|BDD|Badu Island|Badu Island|Australia
602|BDE|Baudette|Baudette|United States
603|BDF|Rinkenberger|Bradford|United States
604|BDG|Blanding|Blanding|United States
