code|description__content
GOLDE|GOLDEN TULIP
GOLDH|GOLDEN HOTELS
GOLDI|GOLD INN
GOLFR|GRUPO GOLF RESORT
GOLTE|GOLDEN TEAM
GONDW|Gondwana Collection Namibia
GONZA|GRUPO GONZALEZ
GOOD|GOOD STAY HOTELS AND RESTAURANTS
GOODE|GOODERSON & LEISURE
GOODM|GOOD MORNING HOTELS
GOODW|GOODWOOD GROUP OF HOTELS
GORIL|
GOUVE|GOUVERNEUR HOTELS (CANADA)
GPACI|GRAND PACIFIC
GPEDR|Grupo Pedras
GR525|GRUPO 525
GRACE|GRACE HOTELS
GRAFA|Solutions G.Grafakos
GRAHE|GRAND HERITAGE HOTELS
GRAMA|GRANDMAS  HOTEL
GRAN|GRAND HOTELS INTERNATIONAL
GRANC|GRAN CARIBE
GRANG|GRANGE HOTELS
GRAOP|GRUPO GRAO PARA
GRECO|GRECOTEL
GREEP|GREEN PARK HOTELS & RESORTS
GREGO|GREGORY GROUP ROME HOTELS
GRELA|
GREPH|
GRESH|GRESHAM
GRIFI|GRIFID HOTELS
GRMIL|GRUPO MILENIUM
GRNOR|GRUP NORDIC HOTELS
GROMA|GROMADA
GROVE|GROVE HOTELS LTD
GRPOS|POSADAS
GRTRE|GREEN TREE INN
GRUAM|GRUPO AMERICAS
GRULE|GRUPO LENA
GRUPA|GRUPA TRIP
GRUPF|GRUP FLORIDA HOTELS
GRUPO|GRUPOTEL HOTELS & RESORTS
GRUSU|GRUPO SUAREZ DE HOTEIS
GSHOT|GS HOTELS
GTJID|
GTOW|GRAND TOWER INN GROUP
GUAD|GUADALAJARA PLAZA HOTEL AND SUITES
GUADA|GUADALPIN
GUITA|GUITART HOTELS
GV|GV HOTEL
GVIHR|Granvista Hotels & Resorts
GWING|GOLDEN WINGS GROUP
GZURI|Grand Zuri Hotels
H10|H10
H2|HOTELES 2
HABAG|HABAGUANEX
HABIT|HABITA HOTELES
HABTO|HABTOOR HOTELS
HAC|HACE
HACE|HTLES.ANDALUCES CON ENCANTO
HAHG|
HAHOT|HA HOTELS
HAISE|HAMILTON ISLAND ENTERPRISES
HALO|HALO HOTELS
HALP|HALPINS PRIVATE HOTELS
HAMPS|HAMPSHIRE
HAMY|HA MY GROUP
HANDP|HANDPICKED
HANKY|HANKYU-HANSHIN-DAIICHI-HOTELS
HARB|HARBOUR HOTELS
HARBO|HARBOR HOTEIS
HARD|HARD ROCK ALL INCLUSIVE COLLECTION
HARMO|HARMONY HOTELS
HARRA|Caesars Entertainment
HASHT|Hasdrubal Hotels
HASTI|HASTINGS HOTEIS
HATTE|HATTERS
HBHOT|HB HOTEIS
HBOM|Hotel Brain Ownership & Management
HC|HOTELES CANARIOS
HCC|HCC HOTELES
HCL|
HCT|HCT (HOTELES CULTURALES TEMATICOS)
HDBJE|HOTEIS DO BOM JESUS
HDHOT|HD HOTELES
HEART|HEARTON HOTELS
HECAN|HECANSA
HELI|HELIOS
HELIO|HOTELES HELIOS
HELLI|
HELNA|Helnan Egypt 
HENAN|
HENDE|HENDERSON HOTEL MANAGEMENT LTD
HERIH|Heritage hotels
HERIT|HOTEIS HERITAGE LISBOA
HERLD|
HERS|HERSONISSOS GROUP HOTELS
HERSO|HERSOTELS
HERTG|HERITAGE HOTELS LTD
HFG|HOTEL FINE GROUP
