Id|AirlineCode|AirlineName|AirlineFullName|AirlineType
256|C4|ZIMEX AVIATION|ZIMEX AVIATION|
257|C5|COMMUTAIR|COMMUTAIR|
258|C6|CANJET AIRLINES|CANJET AIRLINES|
259|C7|RICO LINHAS AEREAS|RICO LINHAS AEREAS|
260|C8|CHICAGO EXPRESS AIRLINES|CHICAGO EXPRESS AIRLINES|
261|C9|CIRRUS AIRLINES|CIRRUS AIRLINES|
262|CA|AIR CHINA|AIR CHINA|
263|CB|SCOTAIRWAYS|SCOTAIRWAYS|
264|CC|MACAIR AIRLINES|MACAIR AIRLINES|
265|CD|ALLIANCE AIR|ALLIANCE AIR|
266|CE|CHALAIR AVIATION|CHALAIR AVIATION|
267|CF|CITY AIRLINE|CITY AIRLINE|
268|CG|AIRLINES OF PAPUA NEW GUINEA|AIRLINES OF PAPUA NEW GUINEA|
269|CH|BEMIDJI AIRLINES|BEMIDJI AIRLINES|
270|CI|CHINA AIRLINES|CHINA AIRLINES|
271|CJ|BA CITYFLYER|BA CITYFLYER|
272|CK|ANDESMAR LINEAS AEREAS|ANDESMAR LINEAS AEREAS|
273|CL|LUFTHANSA CITYLINE|LUFTHANSA CITYLINE|
274|CM|COPA|COPA|
275|CN|GRAND CHINA AIR|GRAND CHINA AIR|
276|CO|CONTINENTAL AIRLINES|CONTINENTAL AIRLINES|
277|CP|COMPASS AIRLINES (NORTH AMERICA)|COMPASS AIRLINES (NORTH AMERICA)|
278|CQ|CZECH CONNECT AIRLINES|CZECH CONNECT AIRLINES|
279|CS|CONTINENTAL MICRONESIA|CONTINENTAL MICRONESIA|
280|CT|ALITALIA CITYLINER SPA|ALITALIA CITYLINER SPA|
281|CU|CUBANA DE AVIACION|CUBANA DE AVIACION|
282|CV|AIR CHATHAMS|AIR CHATHAMS|
283|CW|AIR MARSHALL ISLANDS|AIR MARSHALL ISLANDS|
284|CX|CATHAY PACIFIC AIRWAYS|CATHAY PACIFIC AIRWAYS|
